URL: Starting a new crawl run.
URL: URL: https://stackoverflow.com/questions/61847663/matplotlib-backends-backend-tkagg-is-throwing-an-attribute-error-for-blit | Time: 2025-09-29T19:12:18.558005 | Size: 184965 bytes | Depth: 0 | Status: 200 | Sampled: True
URL: URL: https://hermeneutics.stackexchange.com/questions/108511/matthew-245-many-will-come-in-my-name | Time: 2025-09-29T19:12:19.625968 | Size: 252086 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://hermeneutics.stackexchange.com/questions/108552/i-cor-311-15-talks-about-a-christians-judgement-is-this-our-final-judgement-to | Time: 2025-09-29T19:12:19.729435 | Size: 239203 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://math.stackexchange.com/questions/5098857/how-to-convert-this-extremely-large-group-in-gap-into-a-permutation-group | Time: 2025-09-29T19:12:19.960143 | Size: 155498 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://electronics.stackexchange.com/questions/756161/why-is-a-dc-bias-voltage-v-bb-needed-in-a-bjt-amplifier-and-how-does-the-coup | Time: 2025-09-29T19:12:20.133675 | Size: 194970 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://api.stackexchange.com | Time: 2025-09-29T19:12:20.448316 | Size: 62054 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.ai | Time: 2025-09-29T19:12:20.943111 | Size: 21138 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://physics.stackexchange.com/questions/860047/making-sense-of-perturbation-theory-in-many-body-physics | Time: 2025-09-29T19:12:21.055652 | Size: 216665 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflowteams.com/teams/create/free/?utm_medium=referral&utm_source=stackoverflow-community&utm_campaign=side-bar&utm_content=explore-teams | Time: 2025-09-29T19:12:21.245581 | Size: 37340 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://codegolf.stackexchange.com/questions/283883/numbers-interpreted-in-smallest-valid-base | Time: 2025-09-29T19:12:21.450488 | Size: 394682 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://codegolf.stackexchange.com/questions/283903/interpret-g-code | Time: 2025-09-29T19:12:21.556149 | Size: 264657 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://puzzling.stackexchange.com/questions/133397/which-city-goes-in-the-outside-box | Time: 2025-09-29T19:12:21.850807 | Size: 168866 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://puzzling.stackexchange.com/questions/133396/pairing-6-badminton-players-into-singles-games | Time: 2025-09-29T19:12:21.871878 | Size: 196578 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://philosophy.stackexchange.com/questions/130785/what-can-be-said | Time: 2025-09-29T19:12:21.998869 | Size: 212167 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://scifi.stackexchange.com/questions/299414/a-time-travel-short-fiction-where-a-graphologist-falls-in-love-with-a-girl-for-h | Time: 2025-09-29T19:12:22.233289 | Size: 174331 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://scifi.stackexchange.com/questions/299410/analog-story-nuclear-bombs-used-to-neutralize-global-warming | Time: 2025-09-29T19:12:22.323549 | Size: 165050 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://scifi.stackexchange.com/questions/299407/unexpected-type-comic-story-aboard-a-space-ark-colony-ship-everyones-a-vamp | Time: 2025-09-29T19:12:22.434384 | Size: 169114 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackexchange.com/questions?tab=hot | Time: 2025-09-29T19:12:22.641500 | Size: 103837 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackexchange.com/sites | Time: 2025-09-29T19:12:22.668137 | Size: 495023 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackexchange.com | Time: 2025-09-29T19:12:22.791409 | Size: 103837 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://tex.stackexchange.com/questions/751759/alignment-in-a-table-with-custom-separator | Time: 2025-09-29T19:12:23.027797 | Size: 218100 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://tex.stackexchange.com/questions/751809/error-when-trying-to-graph-logarithm-function-in-a-different-base | Time: 2025-09-29T19:12:23.151561 | Size: 178795 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://tex.stackexchange.com/questions/751811/why-is-l-keys-choice-tl-a-token-list-instead-of-a-string-variable | Time: 2025-09-29T19:12:23.238280 | Size: 152196 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com | Time: 2025-09-29T19:12:23.459451 | Size: 358579 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com/help | Time: 2025-09-29T19:12:23.539119 | Size: 89495 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com/users/login?ssrc=site_switcher&returnurl=https%3a%2f%2fstackoverflow.com%2fquestions%2f61847663%2fmatplotlib-backends-backend-tkagg-is-throwing-an-attribute-error-for-blit | Time: 2025-09-29T19:12:23.725368 | Size: 67789 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com/users/login?ssrc=head&returnurl=https%3a%2f%2fstackoverflow.com%2fquestions%2f61847663%2fmatplotlib-backends-backend-tkagg-is-throwing-an-attribute-error-for-blit | Time: 2025-09-29T19:12:23.853755 | Size: 67734 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com/questions | Time: 2025-09-29T19:12:24.107293 | Size: 359192 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com/tags | Time: 2025-09-29T19:12:24.187663 | Size: 126341 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com/beta/challenges | Time: 2025-09-29T19:12:24.330247 | Size: 171411 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com/collectives-all | Time: 2025-09-29T19:12:24.641500 | Size: 94285 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com/users | Time: 2025-09-29T19:12:24.653996 | Size: 129574 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com/collectives | Time: 2025-09-29T19:12:24.729318 | Size: 153175 bytes | Depth: 1 | Status: 200 | Sampled: True
URL: URL: https://stackoverflow.com/jobs/companies?so_medium=stackoverflow&so_source=sitenav | Time: 2025-09-29T19:12:24.784535 | Size: 118453 bytes | Depth: 1 | Status: 200 | Sampled: True
