URL: Starting a new crawl run.
URL: URL: https://www.hello-products.com/ | Time: 0.48s | Size: 592629 bytes | Status: 200 | Sampled: False
URL: URL: https://sports.yahoo.com/college-football/breaking-news/article/oklahoma-state-fires-mike-gundy-after-loss-to-tulsa-dropped-cowboys-to-1-2-165354947.html | Time: 1.20s | Size: 670387 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/policies/terms-of-service | Time: 0.50s | Size: 211191 bytes | Status: 200 | Sampled: True
URL: URL: https://www.colgatepalmolive.com/en-us/satisfaction-guarantee                                                           | Time: 0.94s | Size: 40815 bytes | Status: 404 | Sampled: False
URL: URL: https://www.hello-products.com/pages/where-to-buy                                                           | Time: 1.06s | Size: 213832 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/pages/public-announcement                                                           | Time: 1.25s | Size: 220580 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/pages/contact-us                                                           | Time: 1.47s | Size: 218876 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/pages/returns-shipping                                                           | Time: 1.60s | Size: 220932 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/blogs/news                                                           | Time: 1.83s | Size: 254657 bytes | Status: 200 | Sampled: True
URL: URL: https://www.hello-products.com/pages/about-us                                                           | Time: 2.15s | Size: 263260 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/pages/vitamin-c                                                           | Time: 2.32s | Size: 821312 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/kids-mouthwash | Time: 1.95s | Size: 349593 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/kids-toothpaste | Time: 1.44s | Size: 531615 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/kids-toothbrush | Time: 1.66s | Size: 420696 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/all-kids-products | Time: 1.69s | Size: 530083 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/adult-mouthwash | Time: 1.56s | Size: 413536 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/adult-toothbrushes | Time: 1.62s | Size: 339505 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/adult-toothpaste | Time: 1.66s | Size: 553463 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/bundles | Time: 1.47s | Size: 538144 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/all-adult-products | Time: 1.84s | Size: 575628 bytes | Status: 200 | Sampled: True
URL: URL: https://www.hello-products.com/collections/deodorant | Time: 1.59s | Size: 537352 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/floss | Time: 1.61s | Size: 330360 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/mouthwashes | Time: 1.75s | Size: 516557 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/all-toothpastes | Time: 1.46s | Size: 556690 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/all-toothbrushes | Time: 1.86s | Size: 520587 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/our-bestsellers | Time: 1.49s | Size: 550899 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/home-page | Time: 1.36s | Size: 582002 bytes | Status: 200 | Sampled: False
URL: URL: https://www.hello-products.com/collections/new | Time: 1.74s | Size: 551168 bytes | Status: 200 | Sampled: False
